Class,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet50_Precision,ResNet50_Recall,ResNet50_F1,MobileNetV2_Precision,MobileNetV2_Recall,MobileNetV2_F1,EffNetB0_Precision,EffNetB0_Recall,EffNetB0_F1
airplane,0.25,0.133333333,0.173913043,0,0,0,0.083333333,0.066666667,0.074074074,0,0,0
bed,0.523809524,0.733333333,0.611111111,0.3,0.2,0.24,0.448275862,0.866666667,0.590909091,0,0,0
bench,0.125,0.066666667,0.086956522,0,0,0,0.363636364,0.266666667,0.307692308,0,0,0
bicycle,0.5,0.6,0.545454545,0.307692308,0.533333333,0.390243902,0.052631579,0.066666667,0.058823529,0,0,0
bird,0.083333333,0.133333333,0.102564103,0.027777778,0.066666667,0.039215686,0.230769231,0.2,0.214285714,0,0,0
bottle,0.071428571,0.066666667,0.068965517,0.090909091,0.066666667,0.076923077,0.117647059,0.133333333,0.125,0,0,0
bowl,0.25,0.133333333,0.173913043,0.083333333,0.066666667,0.074074074,0.111111111,0.133333333,0.121212121,0,0,0
bus,0.260869565,0.4,0.315789474,0,0,0,0.25,0.266666667,0.258064516,0,0,0
cake,0.769230769,0.666666667,0.714285714,0.5,0.133333333,0.210526316,0.714285714,0.666666667,0.689655172,0,0,0
car,0.384615385,0.333333333,0.357142857,0.142857143,0.666666667,0.235294118,0.166666667,0.4,0.235294118,0,0,0
cat,0.2,0.266666667,0.228571429,0,0,0,0.2,0.266666667,0.228571429,0,0,0
chair,0,0,0,0,0,0,0,0,0,0,0,0
couch,0.076923077,0.066666667,0.071428571,0.333333333,0.066666667,0.111111111,0,0,0,0,0,0
cow,0.333333333,0.266666667,0.296296296,0.333333333,0.066666667,0.111111111,0.125,0.066666667,0.086956522,0,0,0
cup,0.25,0.066666667,0.105263158,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,0.222222222,0.133333333,0.166666667,0,0,0
elephant,0.333333333,0.333333333,0.333333333,0,0,0,0.222222222,0.266666667,0.242424242,0,0,0
horse,0.1875,0.2,0.193548387,0,0,0,0.111111111,0.066666667,0.083333333,0,0,0
motorcycle,0.157894737,0.2,0.176470588,0.142857143,0.066666667,0.090909091,0.166666667,0.2,0.181818182,0,0,0
person,0,0,0,0,0,0,0,0,0,0.072463768,1,0.135135135
pizza,0.727272727,0.533333333,0.615384615,0.166666667,0.066666667,0.095238095,0.473684211,0.6,0.529411765,0,0,0
potted plant,0.230769231,0.2,0.214285714,0,0,0,0,0,0,0,0,0
stop sign,0.428571429,0.4,0.413793103,0,0,0,0.777777778,0.466666667,0.583333333,0,0,0
traffic light,0,0,0,0,0,0,0,0,0,0.005847953,0.066666667,0.010752688
train,0.375,0.6,0.461538462,0.095744681,0.6,0.165137615,0.263157895,0.666666667,0.377358491,0.222222222,0.133333333,0.166666667
truck,0.078431373,0.266666667,0.121212121,0,0,0,0,0,0,0,0,0
